DATE,PRICE,Aufwendung
08/11/2007,"E8,398",Garantien
08/24/2007,"E6,398",Garantien
09/16/2007,"E7,408",Garantien
10/22/2007,"E2,310",Garantien
05/20/2008,"E1,614",Garantien
06/23/2008,"E8,908",Garantien
07/11/2008,"E4,514",Garantien
07/31/2008,"E9,143",Garantien
09/15/2008,"E7,843",Garantien
01/28/2009,"E9,938",Garantien
02/07/2009,"E6,204",Garantien
04/11/2009,"E2,204",Garantien
10/17/2009,"E3,763",Garantien
12/05/2009,"E3,149",Garantien
01/12/2010,"E4,739",Garantien
01/29/2010,"E7,328",Garantien
02/16/2010,"E2,045",Garantien
04/12/2010,E480,Garantien
09/02/2010,"E2,195",Garantien
09/08/2010,"E3,497",Garantien
09/14/2010,"E6,991",Garantien
10/06/2010,"E7,642",Garantien
10/14/2010,"E4,340",Garantien
11/26/2010,"E7,477",Garantien
12/31/2010,"E7,298",Garantien
01/12/2011,"E2,638",Garantien
03/01/2011,"E9,043",Garantien
03/21/2011,"E3,501",Garantien
04/06/2011,"E2,110",Garantien
06/10/2011,"E1,247",Garantien
06/15/2011,"E2,823",Garantien
07/16/2011,"E6,802",Garantien
07/23/2011,"E5,282",Garantien
02/02/2012,"E7,457",Garantien
02/25/2012,"E7,654",Garantien
03/23/2012,"E8,042",Garantien
07/22/2012,"E9,209",Garantien
09/09/2012,"E5,605",Garantien
03/18/2013,"E1,604",Garantien
03/20/2013,"E9,491",Garantien
05/14/2013,"E8,849",Garantien
07/13/2013,"E9,828",Garantien
08/03/2013,"E9,792",Garantien
08/15/2013,"E3,144",Garantien
08/27/2013,"E3,204",Garantien
09/28/2013,"E9,392",Garantien
10/14/2013,"E9,056",Garantien
10/20/2013,"E6,746",Garantien
11/17/2013,"E1,301",Garantien
11/24/2013,"E9,231",Garantien
02/11/2014,"E8,378",Garantien
11/14/2014,"E5,783",Garantien
12/11/2014,"E3,878",Garantien
12/27/2014,"E7,272",Garantien
01/14/2015,"E7,498",Garantien
04/13/2015,"E2,384",Garantien
04/30/2015,"E5,968",Garantien
05/12/2015,"E9,070",Garantien
09/13/2015,"E6,499",Garantien
09/21/2015,"E9,586",Garantien
01/29/2016,"E3,715",Garantien
03/02/2016,"E1,980",Garantien
04/06/2016,"E8,125",Garantien
04/22/2016,"E2,183",Garantien
05/21/2016,"E5,774",Garantien
08/13/2016,"E1,383",Garantien
09/11/2016,"E7,204",Garantien
11/04/2016,"E1,647",Garantien
11/06/2016,"E9,688",Garantien
12/05/2016,E317,Garantien
01/03/2017,"E2,881",Garantien
03/03/2017,"E9,291",Garantien
04/16/2017,"E3,366",Garantien
05/24/2017,"E2,858",Garantien
06/01/2017,"E3,636",Garantien
07/24/2017,"E4,238",Garantien
11/07/2017,"E9,102",Garantien
12/11/2017,"E4,198",Garantien
01/17/2018,"E4,207",Garantien
04/17/2018,"E7,971",Garantien
05/12/2018,"E9,391",Garantien
10/07/2018,"E7,099",Garantien
11/13/2018,"E6,680",Garantien
11/16/2018,"E7,222",Garantien
11/26/2018,E666,Garantien
11/28/2018,"E5,479",Garantien
01/17/2019,"E4,025",Garantien
01/27/2019,"E4,850",Garantien
03/06/2019,"E5,586",Garantien
02/02/2000,"E44,392",Rohmaterial
02/28/2000,"E34,170",Rohmaterial
04/16/2000,"E57,494",Rohmaterial
04/30/2000,"E91,949",Rohmaterial
05/08/2000,"E99,993",Rohmaterial
09/01/2000,"E70,333",Rohmaterial
12/28/2000,"E70,412",Rohmaterial
03/21/2001,"E76,032",Rohmaterial
04/10/2001,"E36,120",Rohmaterial
05/03/2001,"E27,841",Rohmaterial
06/03/2001,"E40,366",Rohmaterial
07/30/2001,"E82,394",Rohmaterial
09/06/2001,"E99,241",Rohmaterial
09/30/2001,"E62,408",Rohmaterial
11/06/2001,"E83,538",Rohmaterial
11/09/2001,"E80,213",Rohmaterial
11/24/2001,"E90,176",Rohmaterial
12/26/2001,"E77,750",Rohmaterial
03/20/2002,"E30,818",Rohmaterial
04/01/2002,"E63,806",Rohmaterial
08/31/2002,"E16,971",Rohmaterial
11/13/2002,"E93,979",Rohmaterial
01/13/2003,"E72,524",Rohmaterial
04/21/2003,"E77,659",Rohmaterial
04/26/2003,"E40,767",Rohmaterial
06/10/2003,"E56,850",Rohmaterial
07/03/2003,"E62,720",Rohmaterial
07/04/2003,"E64,493",Rohmaterial
07/07/2003,"E18,370",Rohmaterial
07/14/2003,"E20,854",Rohmaterial
09/01/2003,"E88,749",Rohmaterial
01/12/2004,"E19,073",Rohmaterial
04/06/2004,"E95,533",Rohmaterial
04/16/2004,"E69,900",Rohmaterial
06/21/2004,"E70,482",Rohmaterial
09/09/2004,"E33,467",Rohmaterial
09/18/2004,"E51,121",Rohmaterial
10/05/2004,"E92,161",Rohmaterial
10/26/2004,"E90,475",Rohmaterial
01/04/2005,"E17,929",Rohmaterial
02/08/2005,"E84,927",Rohmaterial
02/19/2005,"E31,428",Rohmaterial
06/19/2005,"E94,892",Rohmaterial
02/05/2006,"E22,135",Rohmaterial
04/16/2006,"E26,300",Rohmaterial
05/06/2006,"E35,529",Rohmaterial
06/01/2006,"E54,146",Rohmaterial
06/05/2006,"E41,741",Rohmaterial
07/12/2006,"E63,946",Rohmaterial
07/21/2006,"E34,353",Rohmaterial
11/07/2006,"E28,904",Rohmaterial
01/09/2007,"E12,710",Rohmaterial
05/24/2007,"E13,398",Rohmaterial
05/29/2007,"E13,836",Rohmaterial
06/04/2007,"E58,115",Rohmaterial
06/13/2007,"E88,457",Rohmaterial
07/04/2007,"E93,228",Rohmaterial
08/18/2007,"E94,291",Rohmaterial
10/02/2007,"E54,929",Rohmaterial
11/13/2007,"E39,730",Rohmaterial
01/16/2008,"E51,230",Rohmaterial
01/20/2008,"E60,029",Rohmaterial
07/27/2008,"E55,828",Rohmaterial
07/29/2008,"E43,948",Rohmaterial
08/04/2008,"E34,792",Rohmaterial
08/27/2008,"E70,952",Rohmaterial
09/14/2008,"E44,900",Rohmaterial
09/22/2008,"E49,906",Rohmaterial
12/24/2008,"E67,742",Rohmaterial
12/29/2008,"E72,624",Rohmaterial
01/24/2009,"E64,801",Rohmaterial
02/17/2009,"E93,758",Rohmaterial
04/14/2009,"E50,970",Rohmaterial
04/20/2009,"E52,213",Rohmaterial
05/04/2009,"E69,525",Rohmaterial
05/07/2009,"E72,663",Rohmaterial
05/10/2009,"E17,304",Rohmaterial
06/08/2009,"E60,814",Rohmaterial
07/20/2009,"E35,021",Rohmaterial
08/10/2009,"E27,711",Rohmaterial
10/12/2009,"E61,926",Rohmaterial
01/13/2010,"E25,844",Rohmaterial
09/22/2010,"E90,481",Rohmaterial
10/08/2010,"E11,605",Rohmaterial
11/27/2010,"E23,805",Rohmaterial
12/26/2010,"E37,561",Rohmaterial
12/26/2010,"E39,908",Rohmaterial
03/16/2011,"E56,201",Rohmaterial
05/03/2011,"E30,344",Rohmaterial
05/13/2011,"E40,741",Rohmaterial
05/19/2011,"E54,432",Rohmaterial
06/04/2011,"E83,458",Rohmaterial
08/14/2011,"E37,899",Rohmaterial
10/11/2011,"E44,013",Rohmaterial
11/16/2011,"E45,771",Rohmaterial
12/06/2011,"E29,837",Rohmaterial
04/12/2012,"E45,937",Rohmaterial
05/19/2012,"E71,979",Rohmaterial
05/25/2012,"E96,554",Rohmaterial
10/06/2012,"E18,753",Rohmaterial
12/26/2012,"E25,300",Rohmaterial
02/24/2013,"E14,796",Rohmaterial
03/17/2013,"E46,850",Rohmaterial
07/14/2013,"E77,149",Rohmaterial
09/06/2013,"E54,036",Rohmaterial
09/12/2013,"E48,334",Rohmaterial
11/26/2013,"E75,505",Rohmaterial
01/07/2014,"E93,748",Rohmaterial
01/27/2014,"E21,984",Rohmaterial
02/12/2014,"E40,455",Rohmaterial
04/05/2014,"E94,659",Rohmaterial
05/30/2014,"E73,071",Rohmaterial
06/13/2014,"E14,407",Rohmaterial
08/05/2014,"E54,194",Rohmaterial
12/04/2014,"E13,418",Rohmaterial
01/13/2015,"E96,673",Rohmaterial
03/31/2015,"E23,038",Rohmaterial
05/17/2015,"E20,934",Rohmaterial
08/08/2015,"E92,061",Rohmaterial
11/10/2015,"E41,003",Rohmaterial
11/16/2015,"E23,502",Rohmaterial
01/26/2016,"E58,261",Rohmaterial
02/27/2016,"E96,299",Rohmaterial
02/27/2016,"E80,942",Rohmaterial
03/31/2016,"E69,562",Rohmaterial
05/07/2016,"E35,026",Rohmaterial
05/09/2016,"E43,139",Rohmaterial
07/18/2016,"E31,505",Rohmaterial
07/20/2016,"E27,492",Rohmaterial
09/08/2016,"E92,634",Rohmaterial
10/14/2016,"E18,958",Rohmaterial
11/19/2016,"E80,994",Rohmaterial
12/29/2016,"E65,294",Rohmaterial
12/30/2016,"E91,230",Rohmaterial
02/22/2017,"E41,417",Rohmaterial
03/14/2017,"E60,352",Rohmaterial
04/16/2017,"E29,246",Rohmaterial
05/28/2017,"E12,205",Rohmaterial
05/31/2017,"E68,506",Rohmaterial
07/09/2017,"E48,786",Rohmaterial
07/10/2017,"E51,485",Rohmaterial
10/27/2017,"E16,554",Rohmaterial
11/12/2017,"E42,109",Rohmaterial
12/18/2017,"E59,682",Rohmaterial
08/27/2018,"E28,466",Rohmaterial
03/06/2019,"E13,046",Rohmaterial
03/07/2019,"E45,302",Rohmaterial
05/08/2000,"E6,119",Salär
05/16/2000,"E8,968",Salär
08/02/2000,"E8,036",Salär
08/24/2000,"E6,620",Salär
10/27/2000,"E6,694",Salär
11/20/2000,"E3,805",Salär
12/13/2000,"E5,451",Salär
04/07/2001,E697,Salär
04/10/2001,"E9,744",Salär
05/19/2001,"E4,021",Salär
07/02/2001,"E2,640",Salär
07/12/2001,"E7,052",Salär
07/24/2001,"E3,812",Salär
09/03/2001,"E4,199",Salär
11/13/2001,"E7,475",Salär
05/09/2002,"E4,308",Salär
06/04/2002,"E8,916",Salär
06/11/2002,"E5,128",Salär
06/29/2002,"E4,488",Salär
08/02/2002,"E3,733",Salär
09/22/2002,"E8,161",Salär
11/06/2002,"E1,193",Salär
11/11/2002,"E2,112",Salär
11/14/2002,"E1,885",Salär
12/15/2002,"E1,564",Salär
02/12/2003,E832,Salär
05/29/2003,"E2,839",Salär
09/11/2003,"E3,392",Salär
09/15/2003,"E5,627",Salär
10/26/2003,"E5,979",Salär
03/02/2004,"E2,344",Salär
06/06/2004,"E7,230",Salär
08/20/2004,"E4,015",Salär
08/24/2004,"E6,051",Salär
10/13/2004,"E2,298",Salär
12/15/2004,"E2,398",Salär
02/01/2005,"E3,830",Salär
04/04/2005,"E6,630",Salär
05/01/2005,"E8,900",Salär
06/10/2005,E662,Salär
09/26/2005,"E5,953",Salär
10/13/2005,"E9,627",Salär
11/03/2005,"E7,325",Salär
11/22/2005,"E2,478",Salär
03/08/2006,"E2,296",Salär
05/24/2006,"E4,164",Salär
06/21/2006,"E9,694",Salär
08/07/2006,"E8,618",Salär
08/14/2006,"E5,758",Salär
09/05/2006,"E2,879",Salär
11/26/2006,E767,Salär
01/16/2007,"E1,704",Salär
02/05/2007,"E9,648",Salär
05/10/2007,"E2,002",Salär
06/18/2007,"E5,596",Salär
07/01/2007,"E7,660",Salär
08/30/2007,"E6,421",Salär
09/21/2007,"E7,708",Salär
01/13/2008,"E5,221",Salär
02/07/2008,"E9,081",Salär
02/15/2008,"E1,175",Salär
02/23/2008,"E4,161",Salär
04/25/2008,"E3,551",Salär
05/01/2008,"E4,599",Salär
05/25/2008,"E9,856",Salär
06/08/2008,"E6,972",Salär
06/11/2008,"E6,641",Salär
06/20/2008,"E3,310",Salär
06/24/2008,"E2,012",Salär
07/23/2008,"E5,209",Salär
08/05/2008,"E7,941",Salär
08/19/2008,"E3,833",Salär
10/17/2008,"E6,785",Salär
12/16/2008,"E8,362",Salär
12/25/2008,E559,Salär
03/25/2009,"E5,940",Salär
08/06/2009,"E9,775",Salär
10/14/2009,"E7,285",Salär
12/07/2009,"E4,010",Salär
01/31/2010,"E5,816",Salär
05/01/2010,"E6,368",Salär
07/02/2010,"E1,483",Salär
07/30/2010,"E1,984",Salär
09/24/2010,"E2,141",Salär
11/23/2010,"E9,083",Salär
12/24/2010,"E5,868",Salär
12/31/2010,"E9,290",Salär
01/11/2011,"E9,971",Salär
06/28/2011,"E3,456",Salär
12/04/2011,"E6,468",Salär
12/07/2011,"E1,868",Salär
01/03/2012,"E4,697",Salär
01/30/2012,"E3,764",Salär
04/19/2012,"E9,917",Salär
04/20/2012,"E5,929",Salär
06/04/2012,"E2,429",Salär
06/08/2012,"E5,255",Salär
10/20/2012,"E4,923",Salär
11/03/2012,"E2,919",Salär
01/04/2013,"E2,398",Salär
03/05/2013,"E3,453",Salär
03/09/2013,"E4,824",Salär
04/21/2013,"E2,643",Salär
04/22/2013,"E3,448",Salär
04/24/2013,"E7,561",Salär
05/06/2013,"E3,636",Salär
07/01/2013,"E3,983",Salär
08/24/2013,E826,Salär
11/06/2013,"E8,199",Salär
12/02/2013,"E6,630",Salär
12/17/2013,"E1,061",Salär
03/07/2014,"E8,206",Salär
03/29/2014,E541,Salär
03/30/2014,"E5,247",Salär
04/19/2014,"E2,959",Salär
05/01/2014,"E1,925",Salär
05/06/2014,"E6,786",Salär
05/30/2014,"E1,966",Salär
07/09/2014,"E7,664",Salär
07/12/2014,"E7,156",Salär
11/03/2014,"E1,379",Salär
01/16/2015,"E8,735",Salär
02/05/2015,"E3,119",Salär
02/23/2015,E701,Salär
03/04/2015,"E5,210",Salär
03/09/2015,"E9,940",Salär
04/06/2015,"E8,244",Salär
04/23/2015,"E8,935",Salär
06/03/2015,"E8,050",Salär
06/24/2015,"E6,544",Salär
07/06/2015,"E6,074",Salär
10/10/2015,E551,Salär
12/09/2015,"E8,179",Salär
03/25/2016,"E3,455",Salär
04/23/2016,"E2,914",Salär
07/02/2016,"E9,150",Salär
08/17/2016,"E3,522",Salär
09/05/2016,"E6,471",Salär
11/30/2016,"E6,758",Salär
12/07/2016,"E1,877",Salär
01/12/2017,"E4,772",Salär
01/14/2017,"E7,354",Salär
02/02/2017,"E6,104",Salär
02/15/2017,"E5,498",Salär
03/29/2017,"E7,230",Salär
04/03/2017,E951,Salär
05/17/2017,"E5,815",Salär
07/11/2017,"E6,970",Salär
08/14/2017,"E1,399",Salär
09/02/2017,"E8,459",Salär
11/12/2017,"E6,911",Salär
12/30/2017,"E4,178",Salär
01/31/2018,"E5,446",Salär
02/25/2018,"E7,712",Salär
03/30/2018,"E5,628",Salär
05/25/2018,"E3,012",Salär
05/27/2018,E810,Salär
06/11/2018,"E2,400",Salär
06/17/2018,"E8,246",Salär
06/27/2018,"E3,285",Salär
07/10/2018,"E8,966",Salär
07/14/2018,"E3,390",Salär
07/25/2018,"E2,978",Salär
07/29/2018,"E1,594",Salär
10/09/2018,"E2,784",Salär
10/10/2018,"E8,004",Salär
11/21/2018,"E2,799",Salär
12/28/2018,"E1,983",Salär
12/30/2018,"E4,435",Salär
04/06/2000,E39,Sonstiges
04/10/2000,E432,Sonstiges
05/02/2000,E20,Sonstiges
08/09/2000,E303,Sonstiges
10/04/2000,E216,Sonstiges
11/01/2000,E309,Sonstiges
11/15/2000,E355,Sonstiges
01/25/2001,E338,Sonstiges
01/27/2001,E320,Sonstiges
02/19/2001,E186,Sonstiges
04/01/2001,E409,Sonstiges
04/07/2001,E437,Sonstiges
08/22/2001,E342,Sonstiges
09/11/2001,E70,Sonstiges
09/15/2001,E148,Sonstiges
12/29/2001,E443,Sonstiges
01/25/2002,E343,Sonstiges
02/01/2002,E213,Sonstiges
02/22/2002,E346,Sonstiges
03/14/2002,E189,Sonstiges
03/14/2002,E199,Sonstiges
04/18/2002,E345,Sonstiges
05/05/2002,E284,Sonstiges
05/24/2002,E100,Sonstiges
05/29/2002,E257,Sonstiges
07/16/2002,E294,Sonstiges
08/11/2002,E419,Sonstiges
08/21/2002,E128,Sonstiges
01/25/2003,E121,Sonstiges
11/21/2003,E184,Sonstiges
02/22/2004,E392,Sonstiges
03/27/2004,E396,Sonstiges
04/27/2004,E496,Sonstiges
07/03/2004,E415,Sonstiges
07/10/2004,E167,Sonstiges
09/10/2004,E170,Sonstiges
10/06/2004,E136,Sonstiges
12/19/2004,E80,Sonstiges
02/15/2005,E196,Sonstiges
03/04/2005,E307,Sonstiges
03/26/2005,E101,Sonstiges
04/24/2005,E62,Sonstiges
05/25/2005,E362,Sonstiges
05/25/2005,E52,Sonstiges
05/29/2005,E200,Sonstiges
07/12/2005,E189,Sonstiges
09/11/2005,E97,Sonstiges
10/10/2005,E421,Sonstiges
11/15/2005,E425,Sonstiges
11/19/2005,E139,Sonstiges
12/16/2005,E354,Sonstiges
01/12/2006,E135,Sonstiges
01/24/2006,E368,Sonstiges
05/01/2006,E318,Sonstiges
05/02/2006,E269,Sonstiges
07/23/2006,E249,Sonstiges
08/02/2006,E386,Sonstiges
09/26/2006,E354,Sonstiges
02/17/2007,E96,Sonstiges
03/11/2007,E378,Sonstiges
03/13/2007,E429,Sonstiges
04/27/2007,E116,Sonstiges
07/10/2007,E193,Sonstiges
08/14/2007,E386,Sonstiges
09/26/2007,E493,Sonstiges
09/29/2007,E372,Sonstiges
01/12/2008,E184,Sonstiges
01/19/2008,E253,Sonstiges
03/31/2008,E21,Sonstiges
05/07/2008,E349,Sonstiges
05/22/2008,E98,Sonstiges
05/24/2008,E105,Sonstiges
06/03/2008,E389,Sonstiges
08/02/2008,E135,Sonstiges
08/09/2008,E434,Sonstiges
08/23/2008,E463,Sonstiges
09/07/2008,E13,Sonstiges
10/03/2008,E139,Sonstiges
10/13/2008,E354,Sonstiges
10/26/2008,E90,Sonstiges
11/11/2008,E430,Sonstiges
01/06/2009,E486,Sonstiges
01/12/2009,E425,Sonstiges
01/19/2009,E279,Sonstiges
01/22/2009,E101,Sonstiges
02/16/2009,E154,Sonstiges
03/03/2009,E454,Sonstiges
03/31/2009,E315,Sonstiges
04/16/2009,E481,Sonstiges
04/26/2009,E217,Sonstiges
05/15/2009,E183,Sonstiges
05/17/2009,E337,Sonstiges
05/25/2009,E363,Sonstiges
12/15/2009,E261,Sonstiges
01/06/2010,E294,Sonstiges
02/21/2010,E63,Sonstiges
04/25/2010,E178,Sonstiges
05/23/2010,E139,Sonstiges
07/10/2010,E422,Sonstiges
09/13/2010,E145,Sonstiges
12/31/2010,E206,Sonstiges
12/31/2010,E269,Sonstiges
03/05/2011,E401,Sonstiges
04/17/2011,E454,Sonstiges
06/28/2011,E208,Sonstiges
06/28/2011,E122,Sonstiges
09/21/2011,E77,Sonstiges
10/07/2011,E462,Sonstiges
10/08/2011,E384,Sonstiges
10/23/2011,E131,Sonstiges
11/04/2011,E200,Sonstiges
01/05/2012,E425,Sonstiges
01/26/2012,E92,Sonstiges
02/24/2012,E315,Sonstiges
04/05/2012,E308,Sonstiges
05/16/2012,E493,Sonstiges
05/17/2012,E296,Sonstiges
07/30/2012,E420,Sonstiges
09/24/2012,E320,Sonstiges
11/22/2012,E68,Sonstiges
12/08/2012,E432,Sonstiges
02/04/2013,E424,Sonstiges
02/15/2013,E34,Sonstiges
05/07/2013,E56,Sonstiges
09/18/2013,E139,Sonstiges
12/16/2013,E92,Sonstiges
02/07/2014,E52,Sonstiges
02/17/2014,E276,Sonstiges
03/08/2014,E90,Sonstiges
03/18/2014,E82,Sonstiges
04/10/2014,E294,Sonstiges
06/14/2014,E331,Sonstiges
07/05/2014,E60,Sonstiges
07/11/2014,E70,Sonstiges
07/13/2014,E74,Sonstiges
07/14/2014,E191,Sonstiges
08/16/2014,E192,Sonstiges
09/20/2014,E448,Sonstiges
09/26/2014,E174,Sonstiges
03/09/2015,E309,Sonstiges
04/21/2015,E420,Sonstiges
06/25/2015,E292,Sonstiges
11/16/2015,E317,Sonstiges
12/13/2015,E183,Sonstiges
01/16/2016,E491,Sonstiges
01/25/2016,E167,Sonstiges
02/11/2016,E322,Sonstiges
05/06/2016,E363,Sonstiges
06/25/2016,E484,Sonstiges
07/09/2016,E238,Sonstiges
09/28/2016,E410,Sonstiges
11/24/2016,E356,Sonstiges
12/25/2016,E382,Sonstiges
12/27/2016,E256,Sonstiges
03/18/2017,E37,Sonstiges
03/20/2017,E287,Sonstiges
04/25/2017,E145,Sonstiges
05/01/2017,E238,Sonstiges
05/11/2017,E349,Sonstiges
06/13/2017,E256,Sonstiges
10/27/2017,E444,Sonstiges
12/14/2017,E385,Sonstiges
12/20/2017,E213,Sonstiges
01/03/2018,E493,Sonstiges
01/12/2018,E60,Sonstiges
02/17/2018,E412,Sonstiges
02/24/2018,E233,Sonstiges
06/16/2018,E82,Sonstiges
08/11/2018,E467,Sonstiges
11/09/2018,E450,Sonstiges
11/15/2018,E341,Sonstiges
12/13/2018,E225,Sonstiges
12/21/2018,E168,Sonstiges
01/05/2019,E421,Sonstiges
02/14/2019,E317,Sonstiges
03/02/2000,E69,Unterhalt
03/05/2000,E825,Unterhalt
03/31/2000,E772,Unterhalt
04/26/2000,E458,Unterhalt
06/18/2000,E417,Unterhalt
07/20/2000,E905,Unterhalt
07/20/2000,E892,Unterhalt
10/06/2000,E99,Unterhalt
10/24/2000,E72,Unterhalt
05/25/2001,E141,Unterhalt
06/21/2001,E864,Unterhalt
07/26/2001,E403,Unterhalt
12/07/2001,E234,Unterhalt
01/02/2002,E580,Unterhalt
04/01/2002,E96,Unterhalt
04/05/2002,E139,Unterhalt
04/14/2002,E10,Unterhalt
04/21/2002,E500,Unterhalt
07/08/2002,E333,Unterhalt
08/04/2002,E441,Unterhalt
10/05/2002,E875,Unterhalt
10/06/2002,E472,Unterhalt
10/23/2002,E196,Unterhalt
12/12/2002,E756,Unterhalt
02/25/2003,E719,Unterhalt
03/02/2003,E127,Unterhalt
03/04/2003,E626,Unterhalt
03/25/2003,E232,Unterhalt
05/31/2003,E579,Unterhalt
07/30/2003,E45,Unterhalt
08/01/2003,E187,Unterhalt
10/03/2003,E640,Unterhalt
11/09/2003,E55,Unterhalt
11/22/2003,E448,Unterhalt
01/23/2004,E784,Unterhalt
03/17/2004,E93,Unterhalt
03/20/2004,E87,Unterhalt
05/27/2004,E946,Unterhalt
08/04/2004,E637,Unterhalt
09/21/2004,E617,Unterhalt
02/07/2005,E795,Unterhalt
03/07/2005,E766,Unterhalt
05/02/2005,E740,Unterhalt
05/23/2005,E966,Unterhalt
07/27/2005,E776,Unterhalt
08/11/2005,E442,Unterhalt
09/29/2005,E528,Unterhalt
10/23/2005,E380,Unterhalt
10/29/2005,E509,Unterhalt
11/17/2005,E321,Unterhalt
12/15/2005,E560,Unterhalt
12/27/2005,E119,Unterhalt
01/17/2006,E762,Unterhalt
02/02/2006,E770,Unterhalt
07/31/2006,E664,Unterhalt
08/15/2006,E845,Unterhalt
08/17/2006,E299,Unterhalt
11/05/2006,E98,Unterhalt
12/01/2006,E512,Unterhalt
01/08/2007,E611,Unterhalt
01/13/2007,E477,Unterhalt
05/12/2007,E892,Unterhalt
05/30/2007,E996,Unterhalt
07/15/2007,E237,Unterhalt
08/05/2007,E586,Unterhalt
08/21/2007,E754,Unterhalt
08/26/2007,E677,Unterhalt
10/31/2007,E522,Unterhalt
11/02/2007,E664,Unterhalt
11/04/2007,E440,Unterhalt
03/08/2008,E163,Unterhalt
05/12/2008,E398,Unterhalt
05/16/2008,E194,Unterhalt
06/27/2008,E590,Unterhalt
07/09/2008,E593,Unterhalt
07/20/2008,E999,Unterhalt
08/07/2008,E143,Unterhalt
08/25/2008,E720,Unterhalt
09/02/2008,E832,Unterhalt
11/07/2008,E266,Unterhalt
01/23/2009,E348,Unterhalt
02/08/2009,E737,Unterhalt
05/23/2009,E767,Unterhalt
10/30/2009,E739,Unterhalt
11/23/2009,E722,Unterhalt
04/22/2010,E659,Unterhalt
04/24/2010,E369,Unterhalt
06/28/2010,E15,Unterhalt
07/05/2010,E165,Unterhalt
09/23/2010,E827,Unterhalt
02/25/2011,E646,Unterhalt
03/26/2011,E176,Unterhalt
07/19/2011,E391,Unterhalt
07/29/2011,E920,Unterhalt
09/01/2011,E571,Unterhalt
09/22/2011,E190,Unterhalt
09/28/2011,E175,Unterhalt
10/16/2011,E818,Unterhalt
10/28/2011,E404,Unterhalt
12/04/2011,E998,Unterhalt
01/23/2012,E964,Unterhalt
04/07/2012,E540,Unterhalt
07/18/2012,E587,Unterhalt
09/26/2012,E87,Unterhalt
10/30/2012,E890,Unterhalt
01/09/2013,E783,Unterhalt
01/29/2013,E771,Unterhalt
02/19/2013,E277,Unterhalt
03/15/2013,E193,Unterhalt
03/19/2013,E51,Unterhalt
05/23/2013,E141,Unterhalt
06/01/2013,E45,Unterhalt
10/04/2013,E539,Unterhalt
10/20/2013,E390,Unterhalt
02/01/2014,E910,Unterhalt
02/06/2014,E45,Unterhalt
03/12/2014,E72,Unterhalt
03/23/2014,E389,Unterhalt
04/17/2014,E581,Unterhalt
05/09/2014,E807,Unterhalt
07/03/2014,E955,Unterhalt
07/23/2014,E203,Unterhalt
07/27/2014,E24,Unterhalt
09/14/2014,E588,Unterhalt
09/25/2014,E473,Unterhalt
10/16/2014,E78,Unterhalt
